user_id,age,gender,city,monthly_income,credit_score,employment_status,created_at
U000029,54,F,San Jos de la Montaña,16297.35,732,Salaried,2024-03-08
U000030,49,F,San Aurora de la Montaña,10021.57,677,Unemployed,2025-09-20
U000031,59,F,Nueva Serbia,6878.8,638,Salaried,2024-03-25
U000032,26,M,San Rubén de la Montaña,21753.19,739,Self-Employed,2024-09-15
U000033,52,F,San Rubén los bajos,12794.8,728,Self-Employed,2025-01-05
U000034,45,F,San Perla de la Montaña,16597.07,663,Salaried,2025-05-03
U000035,26,F,Vieja Somalia,16594.68,741,Salaried,2024-08-12
U000036,21,M,Vieja Mauricio,13075.62,736,Salaried,2024-03-23
U000037,28,F,San Abelardo los altos,2774.3,699,Salaried,2025-10-02
U000038,42,F,San Mónica de la Montaña,14076.02,673,Salaried,2024-12-20
U000039,47,F,Vieja Singapur,14115.89,608,Retired,2024-12-20
U000040,73,M,Nueva Kuwait,11709.98,712,Self-Employed,2025-07-06
U000041,25,F,Nueva Saint Kitts y Nevis,32426.67,674,Self-Employed,2024-07-30
U000042,39,M,San Aida de la Montaña,8224.76,657,Salaried,2025-11-12
U000043,28,F,San Homero de la Montaña,23138.22,700,Salaried,2024-01-05
U000044,64,F,Nueva Bhután,9721.97,712,Retired,2025-06-12
U000045,66,M,San Ángela los altos,14160.99,735,Salaried,2025-07-08
U000046,24,F,Nueva Sudán del Sur,8767.16,657,Self-Employed,2024-11-25
U000047,50,M,Vieja Polonia,10559.01,627,Salaried,2025-09-29
U000048,66,M,San Eric los altos,15957.31,709,Salaried,2025-06-30
U000049,67,M,Vieja Lituania,13400.78,687,Salaried,2025-04-26
U000050,49,M,San Marcela los altos,5714.59,663,Salaried,2024-11-06
U000051,41,F,Nueva Estonia,10876.63,649,Salaried,2024-01-10
U000052,33,M,San Alejandra los altos,12127.47,694,Salaried,2025-01-25
U000053,49,M,Nueva Albania,41427.97,722,Retired,2024-01-16
U000054,52,M,Nueva Belarús,15592.26,688,Salaried,2025-10-25
U000055,48,M,Vieja Bélgica,4224.84,677,Salaried,2024-12-25
U000056,73,F,Vieja Suriname,13851.35,798,Retired,2024-12-03
U000057,52,M,Nueva Uruguay,11903.45,699,Self-Employed,2025-11-17
U000058,43,F,San Federico los bajos,13084.36,637,Salaried,2025-08-10
U000059,51,F,San Elias de la Montaña,26521.04,732,Salaried,2024-02-05
U000060,32,M,San Joaquín los bajos,21474.45,651,Salaried,2024-10-06
U000061,55,M,San Ana los altos,30997.96,652,Salaried,2025-04-12
U000062,18,M,Nueva Luxemburgo,18998.48,765,Self-Employed,2025-06-09
U000063,21,M,San Bianca de la Montaña,7373.72,645,Salaried,2024-04-18
U000064,20,F,Vieja Chile,14182.88,654,Salaried,2024-10-14
U000065,33,F,Vieja Mozambique,5269.03,674,Self-Employed,2024-06-03
U000066,31,M,Vieja República Centroafricana,7062.95,691,Self-Employed,2024-02-06
U000067,74,F,Nueva Bosnia y Herzegovina,7695.15,756,Salaried,2025-11-10
U000068,48,F,Nueva Madagascar,8350.26,669,Salaried,2024-12-03
U000069,24,F,San Ernesto los bajos,21766.13,634,Salaried,2025-10-22
U000070,44,F,Nueva Letonia,15313.28,739,Unemployed,2023-11-23
U000071,21,M,San Gabino los bajos,5092.43,672,Salaried,2024-06-30
U000072,64,F,San Pilar los altos,15614.1,728,Self-Employed,2025-06-02
U000073,24,M,San Cristal de la Montaña,6360.29,615,Salaried,2024-07-09
U000074,52,F,Nueva República Federal Democrática de Nepal,18272.73,706,Salaried,2025-06-15
U000075,29,F,Vieja Bahrein,15526.38,693,Salaried,2023-12-30
U000076,73,M,San Nadia los altos,8883.8,704,Salaried,2024-03-23
U000077,73,M,Nueva Dominicana,15928.15,673,Salaried,2024-01-14
U000078,52,M,Nueva Luxemburgo,40923.7,735,Retired,2024-02-23
U000079,66,M,Nueva San Vicente y las Granadinas,6536.9,715,Salaried,2024-01-24
U000080,49,F,San Víctor los altos,7444.2,713,Salaried,2025-02-03
U000081,43,M,San Francisca de la Montaña,26773.22,665,Salaried,2025-04-25
U000082,18,F,San Evelio los bajos,23813.92,699,Salaried,2024-09-24
U000083,68,F,Vieja Montenegro,21877.98,781,Salaried,2024-07-24
U000084,62,F,Nueva Montenegro,11530.69,662,Salaried,2025-03-18
U000085,36,M,Nueva Qatar,7834.49,643,Retired,2024-05-05
U000086,55,M,San César los bajos,12755.77,703,Self-Employed,2025-10-06
U000087,21,M,Nueva Kiribati,15772.36,709,Salaried,2024-06-30
U000088,50,M,Vieja República Árabe Siria,13464.36,746,Salaried,2025-05-21
U000089,50,M,San Sara los altos,11398.14,795,Unemployed,2025-01-05
U000090,22,M,Vieja Suecia,19446.07,646,Self-Employed,2024-02-10
U000091,33,F,Vieja Burundi,7026.64,692,Salaried,2025-10-13
U000092,74,M,Nueva Grecia,11683.38,727,Salaried,2024-06-27
U000093,20,M,Vieja Eritrea,17746.48,674,Salaried,2025-05-08
U000094,55,F,San Natalia los bajos,8037.91,624,Retired,2024-06-04
U000095,31,F,Nueva Sierra Leona,10219.89,709,Salaried,2024-10-16
U000096,43,M,San Alvaro de la Montaña,15190.97,636,Self-Employed,2024-08-07
U000097,37,F,Vieja Costa Rica,14822.6,698,Salaried,2025-06-19
U000098,66,M,San Pedro los altos,7861.13,697,Salaried,2024-10-19
U000099,57,M,Nueva Belice,13834.56,646,Salaried,2025-10-07
U000100,31,F,Nueva Kiribati,16558.79,704,Salaried,2025-02-16
U000101,40,M,Vieja Camerún,25586.77,737,Unemployed,2023-12-24
U000102,41,F,San José de la Montaña,5845.33,638,Salaried,2025-10-20
U000103,71,F,San Enrique los altos,18197.17,724,Self-Employed,2024-06-02
U000104,69,M,Vieja República de Macedonia del Norte,18197.3,850,Self-Employed,2025-10-08
U000105,53,F,San Silvano los altos,18817.34,740,Retired,2024-03-21
U000106,24,M,Nueva Dinamarca,23680.35,711,Salaried,2025-10-06
U000107,74,M,San Alberto de la Montaña,11057.22,728,Self-Employed,2025-06-16
U000108,27,F,San Lilia los altos,8402.67,662,Salaried,2025-09-23
U000109,31,F,Vieja Congo,9984.43,678,Salaried,2025-07-25
U000110,58,F,Vieja Armenia,53572.71,657,Salaried,2025-09-18
U000111,34,M,San Estela de la Montaña,20166.06,622,Salaried,2025-08-17
U000112,45,F,San Jerónimo los bajos,10065.22,726,Salaried,2025-08-20
U000113,39,M,Nueva Arabia Saudita,13885.05,640,Self-Employed,2025-04-17
U000114,34,M,Vieja Islas Marshall,8697.73,702,Self-Employed,2024-06-25
U000115,53,F,Vieja Japón,8619.48,693,Salaried,2025-04-03
U000116,25,M,San Omar los bajos,13730.06,650,Retired,2025-11-20
U000117,62,M,Nueva Georgia,48357.01,754,Salaried,2024-04-08
U000118,71,F,San Alfonso de la Montaña,3963.63,696,Salaried,2025-02-27
U000119,27,F,San Jaime los altos,8981.55,706,Salaried,2025-07-24
U000120,37,F,San Marco Antonio los altos,8303.96,672,Unemployed,2024-12-23
U000121,68,M,Vieja República Dominicana,18087.79,736,Unemployed,2024-04-17
U000122,31,M,San Alvaro los altos,6501.72,658,Self-Employed,2024-10-25
U000123,40,F,Nueva Kirguistán,10047.03,653,Retired,2024-10-21
U000124,65,M,Vieja Senegal,38533.09,737,Retired,2024-07-22
U000125,33,M,Vieja Pakistán,6269.61,709,Retired,2024-07-19
U000126,69,M,San Itzel los bajos,47728.96,773,Unemployed,2025-05-16
U000127,19,M,San Perla de la Montaña,5368.9,645,Self-Employed,2024-04-19
U000128,39,F,San Wendolin los bajos,28570.98,669,Self-Employed,2025-05-01
U000129,73,M,Vieja Luxemburgo,17435.99,734,Salaried,2025-01-20
U000130,68,M,Vieja Guinea Ecuatorial,7660.57,689,Salaried,2024-05-03
U000131,20,F,San Ricardo los altos,1910.73,620,Salaried,2025-04-13
U000132,70,F,San Martha los bajos,11481.12,646,Salaried,2024-10-30
U000133,70,M,Vieja Venezuela,35576.72,663,Salaried,2024-04-01
U000134,60,M,Vieja Panamá,10259.64,695,Salaried,2025-04-20
U000135,35,M,San Aurelio de la Montaña,31721.94,641,Retired,2025-04-27
U000136,35,F,San Espartaco de la Montaña,26846.7,694,Self-Employed,2024-03-15
U000137,43,F,Nueva Finlandia,7413.77,697,Retired,2024-11-25
U000138,25,F,Vieja Malawi,15054.55,653,Salaried,2025-10-10
U000139,34,M,Vieja Nueva Zelandia,13931.13,665,Salaried,2024-09-27
U000140,45,F,Nueva Sudán,14301.37,713,Self-Employed,2025-05-09
U000141,38,F,Nueva Mali,34600.04,654,Self-Employed,2024-05-09
U000142,50,M,Vieja Azerbaiyán,48041.48,644,Salaried,2025-01-27
U000143,54,M,Nueva Mongolia,12196.8,712,Salaried,2024-03-04
U000144,63,F,San Yeni los altos,15813.12,672,Salaried,2025-01-29
U000145,69,M,San Margarita los altos,11791.41,676,Salaried,2025-08-16
U000146,22,F,San Pascual los bajos,9380.43,704,Self-Employed,2025-10-18
U000147,60,M,Vieja Mónaco,16551.12,668,Self-Employed,2024-06-10
U000148,37,F,Vieja Paraguay,22919.88,703,Self-Employed,2024-12-02
U000149,38,F,Vieja Mauritania,21757.58,715,Self-Employed,2024-01-21
U000150,53,M,San Eugenio los bajos,8124.2,662,Salaried,2024-08-08
U000151,60,F,San Paola de la Montaña,20918.23,725,Self-Employed,2024-03-08
U000152,75,M,Nueva Líbano,13193.23,705,Self-Employed,2025-05-14
U000153,37,F,Nueva Barbados,28755.92,673,Salaried,2024-10-09
U000154,18,F,San Isabel los altos,18550.62,669,Salaried,2024-11-17
U000155,45,F,San Anel de la Montaña,11723.98,728,Salaried,2025-08-29
U000156,46,M,San Julio los altos,21922.08,727,Salaried,2025-05-15
U000157,68,M,Vieja Nicaragua,29239.84,714,Self-Employed,2023-11-26
U000158,36,F,San Héctor los bajos,20114.01,675,Salaried,2025-09-14
U000159,66,M,San Pablo los altos,16228.1,694,Self-Employed,2025-06-14
U000160,32,M,Vieja Estados Unidos de América,14160.3,703,Salaried,2024-06-20
U000161,20,M,San Mercedes de la Montaña,8176.89,751,Retired,2024-09-19
U000162,57,M,San Yolanda los altos,7305.55,637,Salaried,2025-08-02
U000163,74,M,San Daniel los bajos,26765.43,745,Self-Employed,2025-11-05
U000164,42,F,Nueva Libia,19428.02,715,Salaried,2025-02-23
U000165,27,M,Nueva Somalia,13261.92,640,Unemployed,2024-10-19
U000166,73,M,Vieja Djibouti,13981.39,673,Self-Employed,2023-12-31
U000167,32,M,San Juan los bajos,23982.31,684,Self-Employed,2024-05-04
U000168,62,F,San Itzel los bajos,8141.27,676,Salaried,2025-07-05
U000169,33,M,San Germán los bajos,17115.83,661,Salaried,2024-06-04
U000170,69,F,Vieja Angola,8157.29,702,Self-Employed,2025-06-25
U000171,53,F,Vieja Estonia,15474.98,671,Retired,2025-04-09
U000172,75,F,Nueva Argelia,10070.61,706,Self-Employed,2024-06-01
U000173,64,F,Nueva Senegal,5603.52,631,Self-Employed,2024-03-19
U000174,53,F,Nueva Nauru,8681.36,676,Unemployed,2025-04-24
U000175,65,F,Nueva Myanmar,16099.52,757,Salaried,2025-05-18
U000176,66,M,San José Carlos de la Montaña,22350.32,698,Self-Employed,2025-03-06
U000177,35,F,Nueva Indonesia,13208.16,640,Self-Employed,2024-02-13
U000178,35,F,Vieja República Dominicana,13212.15,669,Salaried,2025-05-01
U000179,36,M,San Leonel los altos,16214.01,651,Salaried,2024-04-24
U000180,38,M,Nueva Brunei Darussalam,18244.3,748,Salaried,2025-05-16
U000181,32,F,San Ruby de la Montaña,12515.76,694,Self-Employed,2025-08-01
U000182,63,M,Vieja Portugal,20213.1,685,Salaried,2024-10-19
U000183,44,F,San Ángela los altos,15282.38,687,Salaried,2025-04-07
U000184,44,M,San Adán los bajos,14166.08,655,Salaried,2025-08-21
U000185,44,F,San Bernabé los bajos,13557.65,705,Retired,2024-08-29
U000186,55,M,San Cristian los bajos,31910.37,747,Unemployed,2024-04-06
U000187,66,F,San Sergio los altos,48625.8,700,Salaried,2025-07-15
U000188,40,F,San Martha los bajos,22547.79,699,Self-Employed,2025-08-24
U000189,72,F,San Irene de la Montaña,49706.04,703,Salaried,2025-08-28
U000190,65,M,Vieja Mónaco,8072.08,666,Salaried,2024-05-29
U000191,35,F,San Rebeca los altos,3735.6,650,Salaried,2025-04-23
U000192,42,F,San Iván de la Montaña,8471.99,685,Self-Employed,2024-12-09
U000193,69,F,San Dulce los bajos,16400.28,775,Self-Employed,2024-05-04
U000194,71,F,San Francisco Javier los bajos,23629.57,686,Retired,2024-06-26
U000195,57,M,San Pilar de la Montaña,7792.77,705,Retired,2024-12-27
U000196,55,M,Nueva Filipinas,6050.28,756,Salaried,2025-06-03
U000197,45,M,San Minerva los altos,27110.17,680,Unemployed,2025-07-02
U000198,29,M,Vieja Sri Lanka,4779.63,723,Salaried,2025-05-27
U000199,38,M,San Marisol de la Montaña,12472.43,730,Salaried,2024-02-02
U000200,39,F,San Estela los bajos,5132.48,650,Salaried,2025-05-12
U000201,71,F,Vieja Suecia,13401.83,700,Salaried,2025-02-15
U000202,23,F,San Mario los altos,10198.14,696,Salaried,2025-01-07
U000203,52,M,San Luz los altos,7040.45,677,Retired,2025-01-22
U000204,40,M,San Jesús los altos,14359.65,704,Self-Employed,2024-11-08
U000205,67,M,San Hilda los bajos,20475.18,658,Self-Employed,2024-05-19
U000206,33,M,Nueva Irán,5321.61,722,Self-Employed,2024-02-22
U000207,57,M,Nueva España,16307.63,664,Salaried,2025-06-17
U000208,48,M,San Gerónimo los altos,33883.76,712,Salaried,2025-02-21
U000209,31,F,San Benito de la Montaña,27107.84,695,Self-Employed,2024-07-09
U000210,67,F,Vieja Dinamarca,46002.4,799,Salaried,2024-07-13
U000211,56,M,Nueva Guatemala,11505.97,728,Self-Employed,2023-12-27
U000212,28,F,Vieja Trinidad y Tabago,19677.39,738,Salaried,2024-02-28
U000213,19,F,San Benjamín de la Montaña,7487.92,694,Salaried,2025-02-09
U000214,42,F,San Mariano los bajos,25211.48,625,Retired,2024-10-29
U000215,30,M,San Dulce María de la Montaña,6568.53,589,Salaried,2024-06-05
U000216,71,M,San Camila de la Montaña,11365.71,725,Salaried,2024-09-28
U000217,67,F,San Antonia los altos,32906.13,719,Unemployed,2025-03-24
U000218,56,M,Nueva Colombia,35495.79,658,Self-Employed,2025-08-13
U000219,54,M,San Arturo de la Montaña,4807.68,679,Salaried,2024-02-22
U000220,45,F,San Samuel los altos,16821.94,688,Salaried,2025-07-28
U000221,59,F,Vieja Mónaco,3864.3,679,Salaried,2025-10-27
U000222,44,F,San Héctor los altos,6107.78,704,Salaried,2024-10-20
U000223,41,F,San Rebeca los altos,16646.56,649,Self-Employed,2024-01-07
U000224,45,M,Nueva Serbia,9815.13,639,Self-Employed,2024-05-03
U000225,59,F,San Virginia de la Montaña,12866.63,730,Self-Employed,2024-03-22
U000226,52,F,Nueva República Checa,7395.04,703,Salaried,2024-01-19
U000227,70,F,Nueva Madagascar,9719.07,663,Salaried,2024-11-05
U000228,33,M,San Guillermo de la Montaña,12528.76,637,Salaried,2024-05-19
U000229,46,M,San Guillermina los altos,9583.62,634,Self-Employed,2025-09-19
U000230,54,F,San Angélica los altos,43426.93,721,Salaried,2024-05-21
U000231,49,F,San Socorro los altos,8779.41,691,Salaried,2025-04-18
U000232,31,F,Vieja Burundi,12489.0,669,Self-Employed,2025-01-17
U000233,39,F,Nueva Granada,19312.35,719,Unemployed,2025-08-25
U000234,62,F,Nueva Bangladesh,9717.65,667,Salaried,2024-03-29
U000235,51,M,San Rosario los altos,11327.28,594,Salaried,2025-08-23
U000236,64,F,San Marcela de la Montaña,5382.38,742,Salaried,2024-11-20
U000237,66,M,San Karina los bajos,35845.76,708,Self-Employed,2024-12-14
U000238,59,F,San Marcela de la Montaña,18881.43,710,Salaried,2025-02-28
U000239,19,M,Vieja Venezuela,84738.77,789,Salaried,2024-07-29
U000240,43,M,San Aldonza de la Montaña,12372.72,645,Salaried,2024-05-17
U000241,55,F,Vieja República Dominicana,5095.6,690,Salaried,2023-12-23
U000242,51,F,Vieja Papua Nueva Guinea,8486.14,627,Salaried,2025-04-11
U000243,65,F,San Germán de la Montaña,9063.91,648,Salaried,2025-02-18
U000244,47,F,San Teresa los bajos,36764.39,745,Salaried,2024-01-31
U000245,32,M,San Jaqueline los bajos,13295.97,738,Self-Employed,2024-08-06
U000246,38,M,San Yuridia de la Montaña,13994.52,648,Self-Employed,2025-09-18
U000247,66,M,Vieja Malasia,33318.71,737,Salaried,2025-05-13
U000248,65,F,San Graciela los altos,7169.94,682,Salaried,2024-09-28
U000249,55,F,Vieja Bolivia,7900.09,630,Retired,2024-07-23
U000250,71,M,San Irene de la Montaña,23288.3,785,Salaried,2025-07-14
U000251,41,M,San Noelia de la Montaña,5772.49,698,Salaried,2025-04-15
U000252,63,M,San Liliana de la Montaña,9041.81,671,Salaried,2024-04-15
U000253,21,F,San Silvia los bajos,9363.4,635,Self-Employed,2025-03-21
U000254,26,F,San Amelia de la Montaña,13754.39,643,Salaried,2024-06-16
U000255,18,F,Vieja Mauritania,15713.48,672,Salaried,2025-10-06
U000256,46,F,San Carlos de la Montaña,11575.33,648,Salaried,2025-03-25
U000257,21,F,Nueva Indonesia,9451.58,700,Retired,2025-01-22
U000258,48,M,Vieja Bosnia y Herzegovina,18043.67,652,Self-Employed,2024-05-14
U000259,43,F,Vieja Cabo Verde,14180.16,715,Salaried,2025-04-08
U000260,58,M,Vieja Ucrania,4906.7,705,Salaried,2024-07-05
U000261,69,F,San Linda los bajos,8977.04,716,Salaried,2024-11-22
U000262,33,M,Vieja República Checa,8451.04,602,Salaried,2024-03-13
U000263,44,M,San Elias los altos,5031.51,678,Self-Employed,2024-12-20
U000264,42,F,Nueva Guatemala,15612.6,650,Retired,2025-07-14
U000265,37,F,San Jacinto los altos,19597.46,621,Salaried,2024-06-16
U000266,57,M,Vieja Uruguay,12840.41,642,Self-Employed,2024-07-10
U000267,65,M,San Conchita los bajos,9035.34,693,Retired,2025-01-13
U000268,31,M,San Jaime los bajos,7972.49,658,Salaried,2025-01-23
U000269,23,M,San María Eugenia los bajos,24435.09,662,Salaried,2025-09-27
U000270,53,M,Nueva República Democrática Popular Lao,22057.66,653,Salaried,2024-09-14
U000271,44,F,Vieja Austria,18359.13,748,Self-Employed,2024-07-26
U000272,48,F,San Juana los bajos,3032.11,645,Salaried,2025-04-20
U000273,36,F,Vieja Armenia,18887.27,678,Self-Employed,2024-02-28
U000274,47,M,San Benito los bajos,16692.04,666,Self-Employed,2024-02-07
U000275,34,M,San Adela los altos,14072.16,674,Salaried,2024-03-12
U000276,52,M,San Vanesa de la Montaña,26921.2,713,Self-Employed,2024-01-19
U000277,35,M,San Gabino los bajos,16359.46,667,Salaried,2025-03-20
U000278,28,F,San Violeta de la Montaña,9971.0,656,Salaried,2025-09-13
U000279,70,F,San Zeferino los altos,16927.1,685,Salaried,2024-09-12
U000280,47,F,San Socorro los altos,15896.67,772,Self-Employed,2025-10-11
U000281,35,F,San Patricia de la Montaña,22531.62,676,Salaried,2025-03-15
U000282,56,M,Nueva Seychelles,27466.66,689,Unemployed,2025-05-06
U000283,65,F,San Esperanza los altos,3932.87,646,Self-Employed,2024-01-31
U000284,19,M,San Berta los altos,4348.23,649,Salaried,2025-05-21
U000285,61,M,Vieja Côte d'Ivoire,13508.18,761,Retired,2025-05-14
U000286,61,F,San Alicia de la Montaña,16255.01,687,Salaried,2024-07-30
U000287,66,M,Vieja Kazajstán,21974.62,616,Salaried,2024-09-08
U000288,59,F,San Clemente de la Montaña,15388.39,725,Retired,2025-01-07
U000289,29,F,San Raúl los altos,5501.9,715,Self-Employed,2025-07-29
U000290,49,M,Nueva Cuba,16368.23,674,Salaried,2024-01-22
U000291,44,F,San Silvano los altos,19529.26,782,Salaried,2024-05-27
U000292,24,M,San Rodolfo de la Montaña,14900.05,686,Salaried,2024-05-20
U000293,62,F,San Teodoro los bajos,10141.42,657,Salaried,2024-11-12
U000294,43,M,San Yeni de la Montaña,21986.89,659,Salaried,2025-10-20
U000295,38,F,San Graciela los altos,13945.88,663,Salaried,2025-01-19
U000296,67,F,Nueva México,17807.73,714,Unemployed,2024-08-16
U000297,70,M,San Timoteo los bajos,24897.53,689,Self-Employed,2025-05-11
U000298,52,F,San María Eugenia los bajos,11362.51,648,Salaried,2024-04-24
U000299,30,F,San Maximiliano de la Montaña,10233.52,690,Self-Employed,2024-05-24
U000300,49,F,San Reina los bajos,21040.26,658,Self-Employed,2025-02-10
U000301,31,F,San Gustavo de la Montaña,22511.09,742,Salaried,2025-08-27
U000302,36,F,San Gerardo de la Montaña,17121.0,760,Unemployed,2025-02-03
U000303,49,M,Vieja Guinea Ecuatorial,8397.81,633,Salaried,2025-07-16
U000304,58,M,Vieja Estados Unidos de América,4595.2,743,Self-Employed,2025-03-30
U000305,37,M,Vieja Tailandia,19783.81,686,Salaried,2025-06-30
U000306,23,M,Nueva Serbia,15803.41,632,Retired,2025-04-07
U000307,25,F,Vieja Mauritania,57956.68,725,Retired,2023-12-17
U000308,59,M,San César de la Montaña,14266.04,722,Salaried,2025-10-28
U000309,63,F,San Itzel los altos,17829.43,708,Salaried,2024-10-09
U000310,35,F,Nueva Canadá,8314.16,694,Self-Employed,2025-07-24
U000311,48,M,San Olga los altos,41324.66,769,Salaried,2025-10-31
U000312,27,F,San Daniel los bajos,34749.21,677,Salaried,2025-10-31
U000313,56,M,San Gustavo los altos,7377.85,680,Unemployed,2025-09-28
U000314,35,F,San Camila los bajos,13813.96,725,Salaried,2024-01-19
U000315,68,F,Nueva Tailandia,4839.28,750,Self-Employed,2025-06-06
U000316,36,F,San Porfirio los bajos,12151.35,663,Self-Employed,2024-01-31
U000317,55,F,San Adela los bajos,7278.92,618,Unemployed,2025-01-11
U000318,46,F,Vieja Kiribati,21892.56,697,Salaried,2025-04-27
U000319,53,F,San Rocío los bajos,6161.18,630,Salaried,2025-08-21
U000320,38,M,San Bianca los altos,10921.94,746,Retired,2024-05-21
U000321,33,F,San Alberto los altos,11432.84,617,Salaried,2025-10-08
U000322,67,F,San Santiago de la Montaña,11528.23,684,Salaried,2025-04-08
U000323,65,F,Vieja Túnez,2648.82,682,Self-Employed,2024-07-13
U000324,69,F,San Camilo de la Montaña,11631.12,723,Salaried,2023-12-27
U000325,60,M,Vieja Nueva Zelandia,40512.82,765,Salaried,2024-02-20
U000326,20,M,Nueva Qatar,11369.24,627,Salaried,2024-03-06
U000327,55,F,San María Elena los bajos,62568.42,742,Unemployed,2025-04-25
U000328,73,F,San Rodrigo los altos,13471.85,699,Salaried,2025-06-08
U000329,47,M,Vieja Sudán,15045.75,682,Self-Employed,2024-02-06
U000330,44,M,San Sergio los bajos,9469.23,659,Salaried,2025-11-20
U000331,68,F,San Alonso los altos,13099.74,675,Salaried,2024-09-04
U000332,62,F,Vieja México,8710.57,693,Self-Employed,2024-05-23
U000333,72,F,San Berta los altos,11464.54,757,Unemployed,2024-09-02
U000334,72,F,San Anel los bajos,2722.81,732,Retired,2024-06-23
U000335,58,F,Nueva Mongolia,28216.19,624,Unemployed,2024-02-01
U000336,20,M,Nueva Azerbaiyán,10876.8,656,Salaried,2025-07-25
U000337,61,F,San Federico de la Montaña,5741.6,655,Retired,2025-07-25
U000338,65,M,Nueva República Checa,6861.32,759,Salaried,2024-04-30
U000339,24,M,Nueva Islas Marshall,23421.44,736,Salaried,2025-07-15
U000340,62,F,Nueva Guatemala,20599.11,656,Retired,2025-09-18
U000341,20,F,Nueva Reino Unido de Gran Bretaña e Irlanda del Norte,9752.59,689,Self-Employed,2024-06-03
U000342,36,F,Nueva Suecia,6417.11,702,Salaried,2025-09-24
U000343,27,M,Nueva Andorra,11565.77,660,Salaried,2024-08-26
U000344,54,M,Vieja Angola,20467.14,715,Salaried,2024-04-05
U000345,23,F,San Amelia de la Montaña,10758.17,718,Self-Employed,2025-06-20
U000346,33,F,San Olivia de la Montaña,6983.89,698,Retired,2025-06-23
U000347,27,M,Vieja Micronesia,19069.79,670,Salaried,2025-07-18
U000348,34,F,San Nelly los altos,16247.26,633,Salaried,2024-02-14
U000349,18,F,San Nadia de la Montaña,23258.27,674,Retired,2025-03-13
U000350,61,M,Vieja Montenegro,9763.11,732,Salaried,2025-04-04
U000351,40,F,Nueva Nicaragua,8755.12,622,Self-Employed,2025-09-10
U000352,45,F,San Luis los altos,5250.21,701,Salaried,2024-02-13
U000353,37,M,San María de la Montaña,6196.52,744,Retired,2025-10-20
U000354,72,F,Vieja San Marino,3830.85,757,Salaried,2024-03-16
U000355,42,F,Nueva Guatemala,15162.95,682,Salaried,2025-03-20
U000356,62,F,San Juana los altos,9633.95,706,Salaried,2025-01-07
U000357,71,F,San María Elena los altos,13061.43,742,Salaried,2025-03-06
U000358,54,M,San Berta los altos,14307.46,697,Retired,2024-02-18
U000359,65,F,Vieja Mónaco,10741.1,690,Self-Employed,2025-10-11
U000360,75,F,Vieja Israel,16069.54,635,Self-Employed,2025-08-25
U000361,32,F,San Leonor los bajos,5949.66,701,Salaried,2025-06-10
U000362,30,F,Vieja Malta,14802.02,672,Self-Employed,2024-07-21
U000363,64,M,San José Luis de la Montaña,13508.31,709,Self-Employed,2025-05-08
U000364,75,M,San Ángel de la Montaña,9663.82,666,Salaried,2025-08-29
U000365,46,M,Nueva Marruecos,15025.55,648,Salaried,2024-02-05
U000366,64,M,San Catalina los altos,17067.85,630,Salaried,2024-01-07
