user_id,product_id,interaction_type,implicit_rating,timestamp
U000646,P0067,click,2,2025-04-28 19:54:02
U000084,P0012,add_to_cart,3,2025-05-29 22:23:11
U001305,P0045,conversion,5,2025-06-09 08:56:30
U000884,P0078,add_to_cart,3,2025-03-11 01:39:43
U001757,P0034,view,1,2025-01-18 23:50:21
U000546,P0012,view,1,2025-09-17 00:29:15
U001196,P0050,view,1,2025-05-18 07:42:57
U001382,P0095,view,1,2025-01-03 17:11:16
U001376,P0075,click,2,2025-01-09 05:06:25
U001064,P0043,click,2,2025-02-28 02:48:42
U000368,P0040,click,2,2025-05-31 19:12:19
U001377,P0001,add_to_cart,3,2025-06-03 21:08:26
U000024,P0052,view,1,2025-02-20 09:37:41
U000212,P0087,view,1,2025-07-24 19:03:19
U000449,P0092,view,1,2025-01-14 00:51:14
U000395,P0004,view,1,2024-12-04 07:15:22
U000188,P0007,add_to_cart,3,2024-12-31 10:35:02
U001344,P0027,conversion,5,2025-09-05 06:59:31
U001306,P0015,click,2,2024-12-13 06:49:59
U000245,P0011,add_to_cart,3,2025-10-11 05:17:10
U000266,P0048,click,2,2024-12-19 06:09:01
U001842,P0082,click,2,2025-06-04 05:10:00
U001980,P0023,add_to_cart,3,2025-08-13 02:37:57
U001424,P0023,view,1,2024-12-03 03:31:50
U000956,P0084,add_to_cart,3,2025-01-31 07:30:21
U001308,P0058,add_to_cart,3,2025-04-20 08:36:39
U000566,P0098,view,1,2025-07-15 13:20:37
U001850,P0085,click,2,2025-08-13 12:51:23
U000662,P0032,view,1,2025-03-29 17:39:46
U000151,P0035,click,2,2025-01-21 01:49:18
U000783,P0049,view,1,2025-03-20 08:04:18
U000123,P0033,conversion,5,2025-07-22 07:21:48
U000542,P0022,view,1,2025-07-22 19:09:43
U001007,P0025,click,2,2024-12-30 04:06:27
U000365,P0082,view,1,2025-09-13 23:31:28
U000294,P0069,click,2,2024-12-22 11:24:20
U000447,P0078,click,2,2025-08-06 11:55:51
U001869,P0056,click,2,2025-09-10 15:43:25
U000211,P0004,view,1,2025-06-12 16:29:17
U001170,P0093,view,1,2025-09-16 20:30:13
U000913,P0002,add_to_cart,3,2025-06-01 21:43:59
U000304,P0083,click,2,2025-09-26 15:00:19
U001910,P0004,click,2,2025-05-22 17:51:04
U000545,P0019,click,2,2025-02-09 04:21:12
U001852,P0050,click,2,2025-03-16 18:25:04
U001055,P0090,add_to_cart,3,2025-08-06 21:22:09
U001004,P0061,view,1,2025-06-04 02:58:06
U001728,P0093,click,2,2025-06-01 03:40:39
U001608,P0008,click,2,2025-06-06 19:14:28
U000006,P0049,conversion,5,2025-03-04 09:06:36
U001675,P0099,view,1,2025-06-21 10:06:09
U001161,P0068,add_to_cart,3,2025-04-05 04:56:34
U000735,P0042,click,2,2025-10-03 03:07:42
U000820,P0007,click,2,2025-10-22 14:56:23
U001963,P0082,view,1,2025-06-20 16:18:30
U001094,P0043,view,1,2025-06-23 01:04:51
U000941,P0097,click,2,2024-11-29 14:54:46
U001326,P0025,view,1,2025-09-15 10:52:55
U000080,P0049,click,2,2024-12-05 00:43:57
U000612,P0089,view,1,2025-05-08 21:53:29
U000218,P0080,click,2,2025-10-30 13:34:43
U000996,P0010,add_to_cart,3,2025-11-13 02:03:50
U000896,P0094,view,1,2025-01-08 00:37:24
U000073,P0024,view,1,2025-04-20 17:54:09
U001214,P0030,view,1,2025-05-16 13:35:37
U000129,P0069,click,2,2025-03-24 22:07:02
U001023,P0068,conversion,5,2025-10-19 23:34:39
U001662,P0057,conversion,5,2025-04-17 21:55:26
U000033,P0004,view,1,2025-05-13 15:08:07
U000691,P0092,view,1,2025-05-20 06:31:11
U000242,P0027,add_to_cart,3,2024-12-06 17:34:53
U001366,P0066,view,1,2024-12-05 12:29:18
U001388,P0068,view,1,2025-01-30 10:45:11
U001186,P0029,add_to_cart,3,2025-06-26 22:43:16
U000075,P0094,view,1,2025-08-05 20:22:09
U001339,P0002,view,1,2025-10-22 21:21:21
U001880,P0079,view,1,2025-09-21 10:35:03
U001436,P0083,view,1,2025-03-20 10:47:35
U000352,P0080,view,1,2025-11-01 08:13:00
U000629,P0012,view,1,2025-08-23 23:09:42
U000349,P0075,view,1,2025-01-25 12:08:53
U001674,P0013,view,1,2025-06-01 15:08:06
U001218,P0078,view,1,2025-05-09 00:27:07
U001647,P0025,view,1,2025-01-13 23:44:03
U001661,P0094,click,2,2025-03-24 02:32:53
U000664,P0015,conversion,5,2025-08-27 17:14:12
U001179,P0069,view,1,2025-04-22 20:42:21
U001713,P0027,click,2,2025-05-31 01:37:20
U001214,P0022,view,1,2025-09-15 11:18:46
U000247,P0035,view,1,2025-01-04 05:43:37
U000850,P0021,click,2,2025-07-01 16:19:40
U001133,P0021,view,1,2025-08-11 21:53:53
U001895,P0074,view,1,2025-06-01 06:30:18
U000204,P0080,click,2,2025-08-06 02:35:29
U001592,P0020,view,1,2025-06-25 19:51:11
U000997,P0010,view,1,2025-08-15 22:21:47
U000367,P0011,click,2,2025-06-20 05:42:52
U001215,P0036,view,1,2025-07-02 23:35:56
U001653,P0098,view,1,2025-05-24 05:14:15
U000259,P0026,view,1,2025-05-26 14:01:32
U000554,P0066,view,1,2025-06-29 02:48:47
U000489,P0022,click,2,2025-10-20 13:20:45
U000077,P0076,view,1,2025-01-22 11:08:12
U001023,P0078,conversion,5,2025-06-07 12:51:36
U001284,P0038,view,1,2024-12-14 09:43:14
U000009,P0071,view,1,2025-04-23 18:11:02
U000240,P0067,conversion,5,2025-03-05 01:11:41
U001267,P0046,add_to_cart,3,2025-06-02 21:04:06
U001105,P0064,view,1,2025-07-10 07:09:10
U001577,P0080,click,2,2025-04-18 11:32:34
U000566,P0006,view,1,2025-07-20 08:30:27
U001631,P0019,click,2,2025-08-12 11:32:10
U001983,P0060,view,1,2025-04-08 18:12:34
U000327,P0085,add_to_cart,3,2025-09-16 10:14:18
U000110,P0082,view,1,2025-03-13 05:21:47
U000429,P0055,view,1,2025-03-27 05:19:44
U001263,P0097,view,1,2024-12-16 14:43:33
U000213,P0094,view,1,2024-12-03 16:33:43
U001100,P0022,view,1,2025-07-10 01:43:51
U000059,P0062,click,2,2024-12-10 06:44:51
U000145,P0030,click,2,2025-01-11 13:06:20
U001213,P0074,view,1,2025-10-13 19:00:17
U000407,P0095,click,2,2025-04-14 01:24:09
U000667,P0029,click,2,2025-04-07 05:58:49
U000667,P0029,view,1,2025-10-03 03:47:52
U001510,P0052,add_to_cart,3,2025-09-06 22:41:12
U000769,P0028,view,1,2025-07-07 13:10:47
U001198,P0062,view,1,2024-12-03 04:56:15
U000892,P0018,view,1,2025-09-15 22:20:17
U001248,P0058,view,1,2025-11-03 22:07:51
U000764,P0017,view,1,2025-07-23 13:03:40
U000397,P0080,view,1,2025-04-04 06:57:15
U000552,P0025,view,1,2025-04-19 13:24:50
U000065,P0088,click,2,2024-12-30 13:34:52
U000574,P0017,view,1,2025-05-08 00:50:36
U000953,P0058,view,1,2025-04-05 19:10:45
U001557,P0043,view,1,2025-04-10 13:06:22
U000604,P0077,view,1,2025-05-01 17:40:30
U001627,P0081,conversion,5,2025-04-08 04:16:47
U001854,P0021,click,2,2024-12-14 16:21:29
U001132,P0029,view,1,2025-08-06 13:24:59
U001755,P0066,view,1,2025-02-25 14:35:28
U000443,P0075,view,1,2025-02-26 22:08:31
U000947,P0035,view,1,2025-02-21 21:02:57
U000876,P0094,add_to_cart,3,2025-08-01 10:46:58
U000507,P0041,view,1,2025-03-23 23:11:29
U000455,P0075,add_to_cart,3,2025-07-10 21:00:30
U001871,P0073,add_to_cart,3,2024-12-25 17:55:38
U000855,P0005,view,1,2025-11-11 07:39:13
U000963,P0093,click,2,2025-08-16 22:45:23
U000068,P0054,click,2,2024-12-18 04:43:10
U000981,P0089,add_to_cart,3,2025-10-26 05:19:13
U000926,P0063,view,1,2025-03-21 04:12:11
U001143,P0096,view,1,2025-01-06 05:09:46
U001498,P0052,add_to_cart,3,2025-04-02 20:49:10
U000271,P0045,view,1,2025-01-27 16:40:13
U001326,P0011,view,1,2024-11-30 09:56:31
U001370,P0039,view,1,2025-06-19 20:37:17
U000940,P0073,click,2,2025-03-29 09:50:32
U000049,P0058,view,1,2024-12-07 06:35:51
U000283,P0090,view,1,2025-05-20 18:11:59
U001617,P0047,click,2,2025-08-05 05:03:11
U001441,P0081,view,1,2025-10-24 01:23:27
U001284,P0009,view,1,2025-05-05 19:56:49
U001414,P0042,click,2,2025-07-01 08:49:02
U000607,P0054,click,2,2025-06-10 16:07:20
U001429,P0078,click,2,2025-11-07 19:57:42
U001627,P0026,click,2,2025-05-05 07:49:35
U000165,P0079,add_to_cart,3,2025-03-06 07:16:52
U001506,P0007,click,2,2024-11-30 16:22:33
U001863,P0086,view,1,2025-08-20 01:00:58
U000105,P0014,view,1,2025-05-24 04:08:00
U000953,P0079,view,1,2025-07-09 02:40:11
U000750,P0022,click,2,2024-12-01 09:28:18
U001443,P0008,click,2,2025-03-25 16:20:25
U001584,P0026,view,1,2025-04-18 10:58:57
U000685,P0030,click,2,2025-07-02 06:17:36
U001329,P0061,click,2,2025-04-23 08:04:48
U001540,P0074,add_to_cart,3,2025-03-27 23:23:52
U001439,P0026,click,2,2025-07-03 02:39:36
U001558,P0028,view,1,2024-12-30 17:04:56
U001838,P0034,click,2,2025-10-02 16:21:45
U000866,P0035,view,1,2025-05-31 10:02:43
U000763,P0044,view,1,2024-12-31 14:48:32
U001026,P0067,add_to_cart,3,2025-08-18 01:31:54
U000962,P0090,click,2,2025-08-11 22:42:23
U001690,P0068,add_to_cart,3,2025-02-10 17:25:03
U000925,P0079,view,1,2025-04-02 05:39:24
U001378,P0088,add_to_cart,3,2025-06-03 16:05:06
U001926,P0008,view,1,2025-06-06 00:21:19
U001810,P0058,view,1,2025-10-03 21:32:31
U000800,P0022,view,1,2025-09-15 19:38:02
U001959,P0009,view,1,2025-08-08 22:42:57
U000565,P0014,click,2,2025-04-03 14:56:59
U001016,P0019,add_to_cart,3,2025-01-26 11:17:28
U001066,P0080,view,1,2025-07-19 12:49:27
U000853,P0087,click,2,2025-03-19 01:57:00
U000270,P0060,view,1,2025-04-12 20:44:03
U000909,P0094,click,2,2025-05-11 01:56:41
U000597,P0024,view,1,2025-02-09 02:44:23
U001785,P0029,add_to_cart,3,2025-06-03 18:08:19
U001064,P0082,view,1,2025-07-27 12:58:56
U001185,P0043,click,2,2025-10-17 19:56:21
U001611,P0041,view,1,2025-09-24 10:58:45
U001363,P0089,click,2,2024-12-22 00:15:26
U001123,P0056,view,1,2025-10-15 03:07:36
U001161,P0016,add_to_cart,3,2025-10-18 23:54:11
U000627,P0021,click,2,2025-06-18 20:32:53
U000464,P0061,view,1,2025-02-13 21:35:03
U000590,P0098,add_to_cart,3,2025-03-14 08:33:39
U000303,P0045,view,1,2025-03-05 17:38:15
U001958,P0021,click,2,2024-12-11 05:14:14
U000329,P0091,click,2,2025-03-18 05:26:19
U000373,P0022,add_to_cart,3,2025-07-03 11:48:48
U001418,P0085,click,2,2025-04-27 21:22:46
U000330,P0030,view,1,2025-10-01 05:39:24
U000648,P0073,view,1,2025-02-18 11:37:22
U000533,P0047,view,1,2025-07-23 07:38:55
U001151,P0090,view,1,2025-09-07 06:25:52
U000649,P0044,view,1,2024-12-28 11:19:19
U000918,P0069,conversion,5,2025-08-28 11:43:32
U001092,P0038,view,1,2025-10-16 14:36:18
U000051,P0051,add_to_cart,3,2025-07-05 07:21:53
U001573,P0018,add_to_cart,3,2024-12-29 13:11:39
U001900,P0040,view,1,2025-07-10 14:47:29
U001986,P0094,click,2,2025-04-02 13:46:16
U001039,P0042,click,2,2025-03-08 22:09:32
U000605,P0060,add_to_cart,3,2024-12-18 21:12:46
U001985,P0096,conversion,5,2025-06-30 17:42:26
U001174,P0085,view,1,2025-09-29 21:48:17
U001157,P0093,add_to_cart,3,2025-06-17 00:05:06
U000905,P0043,click,2,2025-05-26 08:02:07
U001498,P0061,add_to_cart,3,2025-05-07 15:07:42
U000285,P0086,click,2,2025-02-12 05:07:25
U000630,P0003,view,1,2025-04-06 15:26:14
U001722,P0028,view,1,2025-09-27 18:13:29
U000189,P0041,view,1,2024-12-22 12:45:03
U001313,P0024,click,2,2025-08-02 18:58:34
U000454,P0098,view,1,2025-10-08 16:00:59
U000046,P0010,click,2,2025-03-19 23:37:52
U000912,P0086,click,2,2025-06-06 17:47:39
U000178,P0065,view,1,2025-10-01 01:13:02
U001004,P0040,click,2,2025-03-19 05:34:03
U001047,P0007,add_to_cart,3,2025-05-09 21:13:52
U000739,P0050,view,1,2025-08-07 10:04:39
U001748,P0054,view,1,2025-06-20 10:53:21
U000763,P0001,view,1,2025-03-24 10:52:27
U000719,P0039,conversion,5,2025-02-08 11:03:56
U001790,P0071,view,1,2025-05-02 15:54:06
U001490,P0056,click,2,2025-04-27 23:55:47
U000851,P0056,view,1,2025-02-28 08:10:14
U001650,P0093,conversion,5,2025-07-23 11:17:54
U000868,P0093,add_to_cart,3,2025-06-10 21:48:08
U000285,P0075,click,2,2025-05-17 18:36:35
U000294,P0026,view,1,2025-08-10 13:36:29
U001776,P0067,conversion,5,2025-09-15 06:00:36
U000135,P0075,click,2,2025-06-23 09:51:55
U000181,P0000,view,1,2025-01-31 21:32:05
U001872,P0034,view,1,2025-10-30 20:45:51
U001138,P0059,click,2,2024-11-29 23:36:30
U001546,P0017,view,1,2025-07-24 14:08:33
U001704,P0048,view,1,2025-08-22 21:44:20
U001004,P0005,add_to_cart,3,2025-06-11 05:46:13
U000618,P0074,view,1,2025-10-23 19:15:04
U001145,P0094,view,1,2025-02-03 04:52:55
U000054,P0000,view,1,2025-07-04 18:46:56
U000614,P0081,add_to_cart,3,2025-06-04 15:07:41
U000967,P0015,click,2,2025-02-13 11:04:37
U001828,P0036,view,1,2025-08-06 09:22:24
U001007,P0088,click,2,2025-10-08 17:35:31
U000058,P0015,click,2,2025-09-07 00:05:35
U001009,P0008,click,2,2025-11-22 01:58:00
U000740,P0074,view,1,2025-05-23 05:43:15
U000893,P0033,click,2,2025-03-06 19:33:25
U000974,P0088,add_to_cart,3,2025-11-21 17:12:16
U000764,P0065,click,2,2025-07-28 12:07:03
U000035,P0033,view,1,2025-06-17 15:31:01
U000119,P0018,view,1,2025-10-02 22:01:10
U001798,P0088,view,1,2025-07-19 09:02:38
U000334,P0006,view,1,2025-10-19 22:38:55
U000859,P0081,add_to_cart,3,2025-09-17 10:55:23
U000729,P0006,view,1,2025-11-09 22:32:08
U001084,P0081,add_to_cart,3,2025-05-10 04:49:05
U001052,P0024,click,2,2025-11-20 17:39:04
U000375,P0097,view,1,2025-06-30 14:48:02
U001541,P0021,click,2,2025-08-31 22:45:22
U001786,P0040,add_to_cart,3,2025-07-24 04:01:31
U001402,P0038,view,1,2024-12-16 00:21:02
U001429,P0088,view,1,2025-06-13 14:07:06
U001094,P0074,view,1,2025-02-08 16:23:17
U000294,P0001,view,1,2025-04-13 05:29:56
U000576,P0047,click,2,2025-05-21 08:54:05
U000843,P0043,add_to_cart,3,2025-01-19 03:17:02
U000333,P0013,view,1,2025-02-24 02:39:38
U001030,P0028,add_to_cart,3,2025-01-20 04:43:11
U001628,P0071,click,2,2025-09-08 15:28:39
U001702,P0067,add_to_cart,3,2025-08-15 21:44:01
U001459,P0070,click,2,2025-09-16 01:28:14
U001643,P0014,view,1,2025-03-19 08:59:06
U001876,P0009,view,1,2025-10-16 14:00:01
U000268,P0002,view,1,2025-05-10 20:19:50
U000638,P0088,view,1,2025-05-01 02:06:57
U001673,P0056,add_to_cart,3,2025-03-26 12:16:33
U001223,P0066,click,2,2025-10-22 19:43:37
U000700,P0022,click,2,2025-10-11 04:22:18
U000058,P0095,add_to_cart,3,2025-11-11 14:37:58
U000455,P0016,add_to_cart,3,2024-12-17 18:43:16
U000291,P0088,view,1,2025-07-26 22:50:43
U000256,P0026,view,1,2025-02-09 19:30:41
U000160,P0054,click,2,2025-10-17 07:11:48
U001605,P0014,view,1,2025-05-01 22:25:02
U001586,P0061,click,2,2025-03-06 10:13:31
U000087,P0025,view,1,2025-10-08 15:45:11
U001624,P0084,click,2,2025-03-14 05:39:45
U000121,P0060,view,1,2025-07-31 15:46:01
U000518,P0005,view,1,2025-01-24 02:58:02
U001367,P0001,click,2,2025-03-02 08:28:08
U001602,P0015,add_to_cart,3,2025-08-16 12:09:53
U000420,P0075,add_to_cart,3,2025-07-14 06:06:14
U000378,P0085,view,1,2025-02-22 11:06:09
U000185,P0018,add_to_cart,3,2025-04-29 09:09:28
U001928,P0035,add_to_cart,3,2025-02-23 09:02:22
U000712,P0045,view,1,2025-01-05 20:39:20
U001025,P0099,click,2,2025-01-19 23:57:45
U000495,P0064,click,2,2025-02-05 06:59:59
U000202,P0074,click,2,2024-12-03 12:26:04
U001083,P0027,click,2,2025-02-26 03:14:46
U001974,P0036,view,1,2025-09-28 07:12:31
U001544,P0068,view,1,2025-10-10 00:32:40
U001485,P0012,add_to_cart,3,2025-03-23 08:39:39
U001885,P0064,add_to_cart,3,2025-05-22 00:29:42
U000972,P0046,click,2,2025-05-30 06:18:16
U000379,P0056,click,2,2025-06-28 04:09:37
U000219,P0023,add_to_cart,3,2025-05-11 03:15:59
U000777,P0054,view,1,2025-05-05 15:42:59
U000466,P0052,view,1,2025-07-31 23:57:48
U000643,P0015,view,1,2025-11-09 11:32:07
U001064,P0017,view,1,2024-12-07 03:06:46
U000739,P0090,view,1,2025-02-09 04:54:03
U001478,P0005,view,1,2025-01-23 15:32:30
U001011,P0014,view,1,2025-03-08 16:04:22
U000935,P0076,click,2,2025-01-14 17:50:19
U001407,P0056,view,1,2024-12-04 01:50:05
U000834,P0037,conversion,5,2025-03-03 02:38:46
U000876,P0024,add_to_cart,3,2025-09-25 10:28:09
U001832,P0060,add_to_cart,3,2025-09-30 19:43:54
U000752,P0022,view,1,2025-03-10 15:14:08
U001380,P0062,click,2,2025-08-05 13:28:08
U000811,P0056,click,2,2025-06-24 15:09:57
U001385,P0010,view,1,2025-01-30 02:30:51
U000808,P0051,click,2,2025-07-30 23:28:00
U000208,P0094,add_to_cart,3,2025-10-19 20:17:05
U000345,P0008,view,1,2024-12-09 03:50:50
U000407,P0043,view,1,2025-08-30 08:09:31
U001728,P0051,view,1,2025-05-30 10:35:18
U001716,P0054,click,2,2025-09-22 13:09:36
U000570,P0097,click,2,2024-11-30 11:46:33
U001191,P0075,view,1,2024-12-14 05:54:02
U001616,P0082,add_to_cart,3,2025-10-22 14:06:59
U000729,P0060,click,2,2025-11-05 22:14:59
U001945,P0051,conversion,5,2024-12-25 08:29:35
U001047,P0035,view,1,2025-03-24 16:01:03
U000931,P0013,view,1,2025-07-14 09:31:44
U001002,P0063,view,1,2025-03-18 11:34:48
U001930,P0017,view,1,2025-10-25 12:50:23
U001511,P0006,add_to_cart,3,2024-12-17 10:50:14
U001020,P0086,view,1,2025-11-07 12:10:45
U000366,P0048,click,2,2025-04-29 19:47:30
U000669,P0019,view,1,2025-11-06 00:44:43
U001276,P0012,click,2,2025-04-12 21:39:56
U001353,P0096,click,2,2025-08-10 14:39:01
U001008,P0059,view,1,2025-08-05 01:54:37
U001355,P0063,view,1,2025-11-01 17:42:56
U000535,P0069,view,1,2024-12-27 19:55:43
U001760,P0069,click,2,2025-04-25 21:32:34
U001950,P0097,view,1,2025-10-14 21:48:50
U000881,P0015,view,1,2025-08-31 00:34:02
U000644,P0048,view,1,2025-10-16 01:12:53
U000073,P0004,view,1,2025-01-16 08:19:43
U001350,P0099,view,1,2025-02-22 10:16:33
U001446,P0021,view,1,2025-01-05 05:29:53
U000275,P0039,click,2,2025-07-02 12:04:14
U000998,P0097,view,1,2025-09-04 00:03:59
U001382,P0062,click,2,2025-06-05 00:52:02
U001403,P0069,click,2,2025-11-20 01:48:06
U000974,P0071,add_to_cart,3,2025-01-08 14:41:01
U001037,P0007,view,1,2025-06-13 11:12:36
U001013,P0075,conversion,5,2025-08-07 17:09:55
U001263,P0086,view,1,2025-10-10 16:52:53
U000582,P0041,view,1,2025-07-06 04:07:01
U001209,P0005,view,1,2025-09-19 18:48:59
U000750,P0044,add_to_cart,3,2025-11-19 12:56:26
U001195,P0003,click,2,2025-06-14 17:59:32
U001280,P0043,view,1,2025-02-28 13:14:03
U000876,P0044,conversion,5,2025-06-03 13:28:21
U000843,P0044,view,1,2025-11-01 06:57:18
U000500,P0031,view,1,2024-12-27 19:23:33
U000639,P0075,view,1,2025-02-23 05:15:00
U001409,P0008,add_to_cart,3,2025-07-13 16:57:10
U000234,P0043,view,1,2025-01-09 05:54:56
U001102,P0041,view,1,2025-09-19 00:52:27
U001347,P0054,click,2,2025-10-02 01:04:59
U001846,P0053,view,1,2025-03-24 11:24:32
U001425,P0060,click,2,2025-03-30 15:22:48
U000648,P0048,click,2,2025-10-12 00:07:47
U000660,P0073,view,1,2025-07-07 16:31:41
U001000,P0012,click,2,2025-09-05 01:45:14
U000421,P0043,view,1,2025-04-23 04:49:00
U001661,P0097,click,2,2025-10-01 17:12:04
U000341,P0078,view,1,2025-09-09 09:33:59
U001985,P0055,view,1,2025-09-07 16:24:47
U001301,P0009,add_to_cart,3,2025-02-22 09:18:55
U001097,P0027,view,1,2025-11-21 01:42:21
U000097,P0038,conversion,5,2025-05-05 23:38:16
U000823,P0028,click,2,2025-02-15 10:11:54
U001961,P0011,click,2,2025-01-17 18:58:50
U001184,P0012,click,2,2025-01-03 05:47:30
U000559,P0008,click,2,2025-01-29 18:46:08
U001087,P0060,view,1,2025-02-13 21:51:00
U000711,P0009,click,2,2025-03-09 09:10:46
U000618,P0064,add_to_cart,3,2025-05-12 10:25:14
U000886,P0084,click,2,2025-04-30 08:32:56
U000409,P0053,view,1,2025-03-01 12:30:57
U001279,P0065,view,1,2025-10-23 21:01:24
U001563,P0070,view,1,2025-07-09 16:34:25
U000038,P0080,click,2,2024-12-14 11:28:32
U001766,P0023,click,2,2025-06-01 04:41:10
U000436,P0084,conversion,5,2025-06-17 22:30:48
U001520,P0059,view,1,2025-04-17 06:42:59
U001306,P0068,add_to_cart,3,2025-08-21 11:07:22
U001746,P0098,add_to_cart,3,2025-01-05 15:05:20
U001914,P0072,click,2,2025-03-25 16:06:47
U000122,P0066,view,1,2025-06-22 16:55:31
U000947,P0018,view,1,2025-05-06 08:08:28
U001528,P0087,click,2,2025-05-26 04:10:27
U001728,P0055,view,1,2025-08-14 21:47:47
U001761,P0008,click,2,2025-02-26 10:19:50
U001732,P0052,view,1,2025-03-10 14:52:45
U000587,P0082,view,1,2025-10-30 07:07:39
U001406,P0076,view,1,2025-09-23 08:10:10
U000488,P0014,view,1,2025-11-21 15:25:40
U000056,P0031,click,2,2025-01-18 00:53:11
U000635,P0059,view,1,2025-04-12 17:35:59
U000893,P0054,click,2,2025-05-26 07:36:03
U000075,P0025,view,1,2025-08-27 16:45:08
U000279,P0003,view,1,2025-04-14 13:47:29
U001645,P0035,click,2,2025-10-07 17:53:35
U000360,P0082,add_to_cart,3,2025-03-22 10:34:43
U001973,P0092,view,1,2024-11-30 22:38:20
U000040,P0007,add_to_cart,3,2025-07-31 09:45:16
U000171,P0040,click,2,2025-11-09 07:33:46
U001775,P0008,add_to_cart,3,2025-07-16 00:48:56
U000833,P0046,click,2,2024-12-06 06:39:37
U001813,P0011,view,1,2025-10-15 13:18:34
U001719,P0092,add_to_cart,3,2025-09-05 22:23:02
U000483,P0014,click,2,2025-08-06 22:34:58
U001024,P0015,click,2,2025-09-29 00:53:09
U001697,P0074,add_to_cart,3,2024-12-13 23:47:46
U001907,P0067,view,1,2025-08-17 23:50:24
U001811,P0011,view,1,2025-11-14 01:32:05
U000250,P0098,add_to_cart,3,2025-09-25 02:23:13
U000674,P0074,click,2,2025-08-10 13:57:56
U001650,P0095,click,2,2025-02-23 20:09:13
U001915,P0054,view,1,2025-03-01 00:11:04
U000218,P0022,view,1,2025-06-25 10:00:37
U000562,P0056,view,1,2025-04-21 03:47:08
U001767,P0075,view,1,2025-03-22 20:48:15
U001092,P0047,click,2,2025-07-28 21:38:59
U000231,P0040,click,2,2025-08-21 20:26:05
U000972,P0087,view,1,2025-04-12 16:16:03
U000568,P0018,view,1,2025-11-08 12:14:50
U001465,P0047,add_to_cart,3,2025-10-04 04:56:04
U000043,P0082,conversion,5,2025-08-15 21:11:25
U001240,P0004,add_to_cart,3,2025-01-09 03:50:11
U001356,P0006,click,2,2025-06-18 11:56:31
