user_idx,product_idx,implicit_rating,interaction_type
1414,42,2,click
607,54,2,click
1429,78,2,click
1627,26,2,click
165,79,3,add_to_cart
1506,7,2,click
1863,86,1,view
105,14,1,view
953,79,1,view
750,22,2,click
1443,8,2,click
1584,26,1,view
685,30,2,click
1329,61,2,click
1540,74,3,add_to_cart
1439,26,2,click
1558,28,1,view
1838,34,2,click
866,35,1,view
763,44,1,view
1026,67,3,add_to_cart
962,90,2,click
1690,68,3,add_to_cart
925,79,1,view
1378,88,3,add_to_cart
1926,8,1,view
1810,58,1,view
800,22,1,view
1959,9,1,view
565,14,2,click
1016,19,3,add_to_cart
1066,80,1,view
853,87,2,click
270,60,1,view
909,94,2,click
597,24,1,view
1785,29,3,add_to_cart
1064,82,1,view
1185,43,2,click
1611,41,1,view
1363,89,2,click
1123,56,1,view
1161,16,3,add_to_cart
627,21,2,click
464,61,1,view
590,98,3,add_to_cart
303,45,1,view
1958,21,2,click
329,91,2,click
373,22,3,add_to_cart
1418,85,2,click
330,30,1,view
648,73,1,view
533,47,1,view
1151,90,1,view
649,44,1,view
918,69,5,conversion
1092,38,1,view
51,51,3,add_to_cart
1573,18,3,add_to_cart
1900,40,1,view
1986,94,2,click
1039,42,2,click
605,60,3,add_to_cart
1985,96,5,conversion
1174,85,1,view
1157,93,3,add_to_cart
905,43,2,click
1498,61,3,add_to_cart
285,86,2,click
630,3,1,view
1722,28,1,view
189,41,1,view
1313,24,2,click
454,98,1,view
46,10,2,click
912,86,2,click
178,65,1,view
1004,40,2,click
1047,7,3,add_to_cart
739,50,1,view
1748,54,1,view
763,1,1,view
719,39,5,conversion
1790,71,1,view
1490,56,2,click
851,56,1,view
1650,93,5,conversion
868,93,3,add_to_cart
285,75,2,click
294,26,1,view
1776,67,5,conversion
135,75,2,click
181,0,1,view
1872,34,1,view
1138,59,2,click
1546,17,1,view
1704,48,1,view
1004,5,3,add_to_cart
618,74,1,view
1145,94,1,view
54,0,1,view
614,81,3,add_to_cart
967,15,2,click
1828,36,1,view
1007,88,2,click
58,15,2,click
1009,8,2,click
740,74,1,view
893,33,2,click
974,88,3,add_to_cart
764,65,2,click
35,33,1,view
119,18,1,view
1798,88,1,view
334,6,1,view
859,81,3,add_to_cart
729,6,1,view
1084,81,3,add_to_cart
1052,24,2,click
375,97,1,view
1541,21,2,click
1786,40,3,add_to_cart
1402,38,1,view
1429,88,1,view
1094,74,1,view
294,1,1,view
576,47,2,click
843,43,3,add_to_cart
333,13,1,view
1030,28,3,add_to_cart
1628,71,2,click
1702,67,3,add_to_cart
1459,70,2,click
1643,14,1,view
1876,9,1,view
268,2,1,view
638,88,1,view
1673,56,3,add_to_cart
1223,66,2,click
700,22,2,click
58,95,3,add_to_cart
455,16,3,add_to_cart
291,88,1,view
256,26,1,view
160,54,2,click
1605,14,1,view
1586,61,2,click
87,25,1,view
1624,84,2,click
121,60,1,view
518,5,1,view
1367,1,2,click
1602,15,3,add_to_cart
420,75,3,add_to_cart
378,85,1,view
185,18,3,add_to_cart
1928,35,3,add_to_cart
712,45,1,view
1025,99,2,click
495,64,2,click
202,74,2,click
1083,27,2,click
1974,36,1,view
1544,68,1,view
1485,12,3,add_to_cart
1885,64,3,add_to_cart
972,46,2,click
379,56,2,click
219,23,3,add_to_cart
777,54,1,view
466,52,1,view
643,15,1,view
1064,17,1,view
739,90,1,view
1478,5,1,view
1011,14,1,view
935,76,2,click
1407,56,1,view
834,37,5,conversion
876,24,3,add_to_cart
1832,60,3,add_to_cart
752,22,1,view
1380,62,2,click
811,56,2,click
1385,10,1,view
808,51,2,click
208,94,3,add_to_cart
345,8,1,view
407,43,1,view
1728,51,1,view
1716,54,2,click
570,97,2,click
1191,75,1,view
1616,82,3,add_to_cart
729,60,2,click
1945,51,5,conversion
1047,35,1,view
931,13,1,view
1002,63,1,view
1930,17,1,view
1511,6,3,add_to_cart
1020,86,1,view
366,48,2,click
669,19,1,view
1276,12,2,click
1353,96,2,click
1008,59,1,view
1355,63,1,view
535,69,1,view
1760,69,2,click
1950,97,1,view
881,15,1,view
644,48,1,view
73,4,1,view
1350,99,1,view
1446,21,1,view
275,39,2,click
998,97,1,view
1382,62,2,click
1403,69,2,click
974,71,3,add_to_cart
1037,7,1,view
1013,75,5,conversion
1263,86,1,view
582,41,1,view
1209,5,1,view
750,44,3,add_to_cart
1195,3,2,click
1280,43,1,view
876,44,5,conversion
843,44,1,view
500,31,1,view
639,75,1,view
1409,8,3,add_to_cart
234,43,1,view
1102,41,1,view
1347,54,2,click
1846,53,1,view
1425,60,2,click
648,48,2,click
660,73,1,view
1000,12,2,click
421,43,1,view
1661,97,2,click
341,78,1,view
1985,55,1,view
1301,9,3,add_to_cart
1097,27,1,view
97,38,5,conversion
823,28,2,click
1961,11,2,click
1184,12,2,click
559,8,2,click
1087,60,1,view
711,9,2,click
618,64,3,add_to_cart
886,84,2,click
409,53,1,view
1279,65,1,view
1563,70,1,view
38,80,2,click
1766,23,2,click
436,84,5,conversion
1520,59,1,view
1306,68,3,add_to_cart
1746,98,3,add_to_cart
1914,72,2,click
122,66,1,view
947,18,1,view
1528,87,2,click
1728,55,1,view
1761,8,2,click
1732,52,1,view
587,82,1,view
1406,76,1,view
488,14,1,view
56,31,2,click
635,59,1,view
893,54,2,click
75,25,1,view
279,3,1,view
1645,35,2,click
360,82,3,add_to_cart
1973,92,1,view
40,7,3,add_to_cart
171,40,2,click
1775,8,3,add_to_cart
833,46,2,click
1813,11,1,view
1719,92,3,add_to_cart
483,14,2,click
1024,15,2,click
1697,74,3,add_to_cart
1907,67,1,view
1811,11,1,view
250,98,3,add_to_cart
674,74,2,click
1650,95,2,click
1915,54,1,view
218,22,1,view
562,56,1,view
1767,75,1,view
1092,47,2,click
231,40,2,click
972,87,1,view
568,18,1,view
1465,47,3,add_to_cart
43,82,5,conversion
1240,4,3,add_to_cart
1356,6,2,click
1615,85,1,view
1131,49,1,view
1962,89,1,view
1663,87,1,view
1775,30,3,add_to_cart
795,1,3,add_to_cart
804,32,1,view
1917,96,1,view
430,20,3,add_to_cart
1293,40,3,add_to_cart
1570,82,1,view
69,35,3,add_to_cart
1685,99,3,add_to_cart
964,94,1,view
1722,42,2,click
1795,12,3,add_to_cart
1430,33,2,click
720,53,2,click
1665,70,2,click
928,88,1,view
106,82,2,click
1290,56,2,click
278,0,1,view
1286,39,1,view
168,14,1,view
1057,91,5,conversion
1701,83,2,click
1734,76,2,click
1623,40,1,view
1788,94,1,view
355,87,2,click
670,36,1,view
848,47,1,view
1794,48,3,add_to_cart
1811,73,1,view
1941,2,3,add_to_cart
1325,78,2,click
1857,11,5,conversion
406,33,2,click
345,6,1,view
878,76,1,view
182,47,1,view
1161,15,1,view
1076,55,2,click
1901,58,3,add_to_cart
1012,15,1,view
416,24,3,add_to_cart
1665,34,1,view
1012,48,1,view
1753,26,2,click
1687,36,2,click
387,53,1,view
1622,18,1,view
1999,33,1,view
923,31,1,view
1401,82,1,view
21,60,1,view
662,88,1,view
434,91,1,view
866,94,2,click
149,12,2,click
106,42,3,add_to_cart
964,45,5,conversion
1923,85,5,conversion
1225,90,2,click
93,0,1,view
1269,48,1,view
808,85,1,view
1982,71,1,view
367,33,1,view
1009,43,3,add_to_cart
270,11,1,view
1086,55,1,view
239,40,1,view
261,63,3,add_to_cart
1709,35,2,click
1896,55,1,view
1795,33,2,click
1559,33,2,click
892,21,1,view
1006,97,5,conversion
1138,84,2,click
901,6,1,view
111,29,1,view
963,33,1,view
956,55,1,view
1833,63,1,view
730,90,2,click
937,63,1,view
1474,18,1,view
191,26,3,add_to_cart
369,21,2,click
1684,34,2,click
1358,74,1,view
1989,0,2,click
1168,23,1,view
157,31,2,click
1386,12,3,add_to_cart
53,36,2,click
1393,15,1,view
1209,13,3,add_to_cart
314,3,1,view
1701,90,2,click
929,80,5,conversion
1216,84,1,view
1986,5,2,click
1947,57,1,view
1498,93,3,add_to_cart
1632,72,1,view
1767,6,3,add_to_cart
579,41,2,click
1523,9,2,click
1233,48,1,view
522,22,1,view
1578,51,1,view
1745,26,1,view
1596,51,1,view
1541,83,1,view
611,62,3,add_to_cart
1507,39,3,add_to_cart
1235,16,1,view
196,47,2,click
1002,57,3,add_to_cart
975,34,2,click
866,11,2,click
1660,47,2,click
889,80,1,view
82,65,1,view
949,86,1,view
1405,91,1,view
1014,67,2,click
1074,10,1,view
895,10,3,add_to_cart
978,38,1,view
261,87,3,add_to_cart
1723,31,2,click
605,72,1,view
156,5,2,click
1045,54,1,view
951,84,2,click
1664,32,1,view
1199,10,2,click
33,14,2,click
947,22,2,click
1726,50,1,view
852,90,1,view
1202,92,1,view
1372,57,2,click
542,43,5,conversion
1784,23,1,view
160,95,5,conversion
531,86,1,view
1094,2,1,view
238,1,1,view
977,58,2,click
1779,84,5,conversion
1232,92,1,view
1266,78,1,view
1379,88,2,click
1647,38,1,view
276,1,1,view
1671,2,2,click
385,3,1,view
1328,18,2,click
892,80,3,add_to_cart
1103,24,1,view
1576,59,1,view
864,2,1,view
1848,19,2,click
911,62,1,view
1760,57,2,click
412,37,2,click
1707,50,1,view
16,13,2,click
1460,55,5,conversion
1737,63,2,click
1220,93,2,click
595,4,1,view
995,65,2,click
1252,86,3,add_to_cart
1776,62,1,view
124,67,1,view
1180,40,2,click
548,82,1,view
969,14,1,view
1922,82,1,view
1428,55,1,view
589,92,1,view
704,56,1,view
449,75,3,add_to_cart
694,77,3,add_to_cart
1464,84,1,view
1808,37,2,click
799,53,3,add_to_cart
1378,83,2,click
1630,60,2,click
1729,20,2,click
578,88,2,click
1366,61,1,view
408,20,2,click
206,53,3,add_to_cart
1011,38,1,view
1140,6,5,conversion
734,33,1,view
324,22,3,add_to_cart
1831,64,1,view
130,43,1,view
1264,29,1,view
458,62,1,view
696,45,2,click
1577,71,1,view
309,88,3,add_to_cart
1237,85,1,view
103,56,2,click
1971,96,1,view
216,78,2,click
1757,13,3,add_to_cart
85,64,1,view
1290,15,3,add_to_cart
1865,46,1,view
598,90,1,view
1036,63,2,click
203,19,2,click
685,17,1,view
413,56,5,conversion
1575,98,1,view
1709,60,1,view
1034,21,1,view
762,91,2,click
738,80,2,click
310,96,2,click
863,29,1,view
878,52,3,add_to_cart
1839,58,5,conversion
1057,87,1,view
60,56,1,view
20,91,3,add_to_cart
1932,8,1,view
644,51,5,conversion
336,55,1,view
1554,4,2,click
1313,19,3,add_to_cart
118,80,5,conversion
1636,84,3,add_to_cart
1992,37,1,view
1814,87,2,click
1789,38,2,click
642,44,1,view
572,67,2,click
300,89,1,view
1318,26,3,add_to_cart
1278,79,2,click
1428,44,3,add_to_cart
1600,83,1,view
404,38,1,view
1100,42,1,view
1472,94,3,add_to_cart
1065,69,1,view
190,65,2,click
1067,43,2,click
327,2,1,view
1631,69,2,click
494,99,1,view
865,64,1,view
122,47,1,view
1039,45,1,view
1549,83,3,add_to_cart
919,38,2,click
10,58,1,view
483,95,5,conversion
1158,91,3,add_to_cart
1285,85,2,click
1219,29,1,view
582,85,2,click
1464,73,2,click
1462,48,2,click
507,13,1,view
1192,24,3,add_to_cart
739,58,1,view
1457,54,3,add_to_cart
167,11,1,view
1819,16,1,view
913,9,1,view
1077,51,2,click
1062,99,1,view
540,74,1,view
867,56,2,click
1941,62,2,click
853,20,1,view
260,62,2,click
264,90,2,click
1083,15,2,click
932,60,1,view
321,71,1,view
1949,15,2,click
836,14,1,view
1170,37,1,view
313,15,1,view
766,38,1,view
57,18,1,view
1207,53,1,view
1831,39,3,add_to_cart
441,23,3,add_to_cart
1001,0,1,view
714,8,3,add_to_cart
855,61,2,click
1158,57,3,add_to_cart
1600,48,1,view
1474,77,1,view
283,64,2,click
1559,57,2,click
305,93,1,view
1638,79,2,click
838,49,1,view
809,43,2,click
1962,85,3,add_to_cart
1507,35,2,click
1773,21,2,click
1171,80,2,click
1448,39,2,click
253,82,2,click
394,79,2,click
1551,6,5,conversion
1068,24,2,click
1029,2,1,view
1917,68,1,view
38,35,2,click
502,90,3,add_to_cart
1186,56,1,view
1092,77,1,view
1206,5,1,view
1912,2,1,view
369,53,1,view
1081,40,1,view
186,14,5,conversion
1109,21,1,view
374,32,2,click
315,39,5,conversion
1389,21,1,view
1968,41,1,view
1460,7,1,view
202,40,1,view
1828,41,1,view
1928,15,1,view
490,96,2,click
484,63,2,click
1033,49,3,add_to_cart
551,7,1,view
1132,52,1,view
59,52,2,click
1871,2,1,view
1973,75,2,click
504,97,2,click
1608,16,1,view
833,57,1,view
1302,64,1,view
1982,18,1,view
344,31,2,click
867,71,1,view
2,59,5,conversion
1271,37,2,click
342,0,1,view
1887,61,1,view
513,87,1,view
719,80,1,view
1721,65,1,view
330,94,2,click
143,38,1,view
1430,15,3,add_to_cart
1484,71,5,conversion
1798,55,1,view
1033,40,3,add_to_cart
1936,43,2,click
1541,90,1,view
503,84,5,conversion
699,26,1,view
1227,42,1,view
1416,17,2,click
4,77,1,view
1846,1,2,click
846,71,3,add_to_cart
1440,62,2,click
1102,10,2,click
1329,83,1,view
63,85,1,view
252,45,5,conversion
770,76,1,view
362,98,3,add_to_cart
17,15,1,view
1917,24,1,view
453,95,1,view
575,87,3,add_to_cart
732,24,1,view
1256,80,1,view
1470,28,1,view
1011,46,1,view
1009,90,2,click
428,0,1,view
1681,81,1,view
1781,35,2,click
1011,21,2,click
1351,94,2,click
1397,77,2,click
133,75,1,view
133,16,1,view
1167,29,3,add_to_cart
1492,35,1,view
1388,2,5,conversion
1419,86,2,click
517,87,2,click
929,0,3,add_to_cart
1312,86,3,add_to_cart
106,41,1,view
833,35,1,view
1061,59,1,view
1059,97,1,view
1477,28,1,view
1880,53,2,click
647,0,1,view
685,10,3,add_to_cart
1654,3,5,conversion
462,88,1,view
152,31,1,view
674,39,1,view
1280,12,1,view
884,3,2,click
1282,42,3,add_to_cart
506,13,1,view
1963,43,3,add_to_cart
1682,42,2,click
484,9,2,click
1268,56,2,click
1280,57,2,click
175,7,3,add_to_cart
772,40,3,add_to_cart
1420,8,2,click
126,56,1,view
1250,80,1,view
208,86,1,view
106,37,3,add_to_cart
822,12,2,click
841,29,3,add_to_cart
1612,84,2,click
928,49,1,view
876,79,2,click
695,83,3,add_to_cart
1603,3,1,view
672,75,1,view
210,1,2,click
138,75,2,click
396,73,1,view
1042,32,1,view
985,92,2,click
380,31,1,view
90,7,1,view
1197,55,2,click
1334,96,1,view
1195,69,2,click
301,60,1,view
702,37,1,view
16,66,2,click
1389,18,1,view
1038,71,3,add_to_cart
864,44,1,view
410,81,3,add_to_cart
1608,8,1,view
1367,60,2,click
957,76,2,click
1744,74,2,click
687,78,1,view
673,20,1,view
1794,5,1,view
1884,0,2,click
1419,29,1,view
436,30,1,view
1573,42,3,add_to_cart
769,26,1,view
1691,0,1,view
151,45,1,view
235,18,1,view
398,80,2,click
1567,46,1,view
60,25,1,view
356,28,3,add_to_cart
1472,22,1,view
1135,31,1,view
44,22,3,add_to_cart
1865,12,1,view
1387,17,1,view
1612,14,1,view
430,39,1,view
757,47,2,click
1927,67,5,conversion
1276,55,3,add_to_cart
133,15,1,view
1892,16,2,click
392,68,1,view
766,40,2,click
1302,31,3,add_to_cart
1562,78,2,click
1749,68,1,view
304,41,1,view
1289,35,3,add_to_cart
1743,65,5,conversion
1814,62,1,view
166,60,2,click
1259,8,1,view
794,96,3,add_to_cart
1538,65,1,view
1062,59,1,view
1459,47,2,click
989,91,5,conversion
970,34,2,click
1306,74,2,click
424,28,3,add_to_cart
925,30,1,view
626,54,3,add_to_cart
1170,20,3,add_to_cart
766,32,2,click
275,96,1,view
910,66,1,view
1195,5,1,view
1272,43,1,view
957,55,1,view
1647,63,1,view
783,3,1,view
478,33,2,click
735,10,1,view
1027,65,2,click
160,35,3,add_to_cart
201,15,1,view
78,69,1,view
402,86,1,view
619,95,3,add_to_cart
1399,35,1,view
1237,17,5,conversion
1540,91,2,click
1868,33,1,view
613,36,3,add_to_cart
1603,51,3,add_to_cart
1683,74,2,click
24,60,2,click
1558,19,3,add_to_cart
466,29,2,click
429,60,1,view
1202,70,2,click
1479,59,1,view
175,40,3,add_to_cart
878,98,3,add_to_cart
855,26,1,view
1746,71,1,view
284,73,3,add_to_cart
625,94,1,view
1659,84,3,add_to_cart
695,28,1,view
1404,96,1,view
1594,88,2,click
667,75,1,view
1608,4,3,add_to_cart
314,42,2,click
1636,77,3,add_to_cart
1175,50,5,conversion
418,50,1,view
791,24,1,view
673,72,5,conversion
1308,38,1,view
213,86,2,click
65,88,2,click
54,23,1,view
1866,49,1,view
477,37,2,click
143,58,1,view
1061,1,1,view
1760,52,1,view
226,16,2,click
979,95,1,view
1956,26,1,view
421,39,1,view
1453,85,1,view
1236,73,3,add_to_cart
1203,25,2,click
1402,58,1,view
15,18,1,view
1688,51,2,click
505,67,1,view
1165,62,1,view
1179,5,2,click
589,82,3,add_to_cart
934,44,2,click
1457,38,1,view
1686,22,1,view
367,79,2,click
937,49,3,add_to_cart
375,89,2,click
805,89,3,add_to_cart
490,20,1,view
1286,68,1,view
1876,8,2,click
1479,27,3,add_to_cart
842,97,2,click
755,9,2,click
1033,98,2,click
839,57,1,view
424,64,1,view
54,9,2,click
1383,95,1,view
703,95,1,view
398,50,1,view
513,14,2,click
279,41,2,click
950,62,1,view
169,70,2,click
1461,56,1,view
1680,35,3,add_to_cart
349,2,2,click
362,37,1,view
1518,50,1,view
1375,97,1,view
559,19,1,view
364,27,2,click
1828,86,2,click
905,89,1,view
1300,66,2,click
1467,84,3,add_to_cart
799,88,1,view
107,76,1,view
1581,48,2,click
1902,31,1,view
488,25,1,view
863,3,5,conversion
690,24,2,click
129,28,5,conversion
197,85,1,view
342,5,1,view
220,41,1,view
1283,24,2,click
1913,69,1,view
876,15,1,view
216,45,1,view
30,51,2,click
24,49,1,view
450,8,2,click
570,83,2,click
89,8,3,add_to_cart
841,38,2,click
1023,13,2,click
1620,72,1,view
1964,12,2,click
1292,89,1,view
1893,98,2,click
680,22,2,click
1810,88,1,view
1743,85,1,view
686,2,2,click
1198,57,1,view
1311,94,1,view
1203,90,5,conversion
476,2,2,click
1836,15,1,view
1511,54,2,click
1269,10,1,view
767,63,1,view
310,48,1,view
77,30,3,add_to_cart
1224,56,2,click
673,17,1,view
1318,97,1,view
1621,53,2,click
590,96,1,view
1734,93,1,view
496,26,2,click
1856,85,5,conversion
1641,87,2,click
455,77,3,add_to_cart
1067,41,1,view
1289,0,1,view
1006,8,5,conversion
106,81,5,conversion
1921,26,1,view
355,75,2,click
1628,26,1,view
160,54,2,click
637,21,2,click
501,54,1,view
509,38,1,view
918,81,1,view
1766,61,1,view
1991,46,1,view
343,60,1,view
1034,78,2,click
1557,19,3,add_to_cart
1625,61,1,view
781,54,3,add_to_cart
1554,38,2,click
312,70,2,click
526,48,1,view
928,36,1,view
1241,61,1,view
279,91,1,view
316,24,1,view
1764,64,2,click
766,62,1,view
851,50,5,conversion
764,49,1,view
1312,75,1,view
1812,4,5,conversion
254,49,3,add_to_cart
332,24,2,click
1960,32,2,click
1539,92,1,view
1452,62,2,click
754,89,1,view
789,54,2,click
496,61,1,view
1665,46,2,click
1385,3,2,click
1321,18,1,view
932,87,1,view
506,77,2,click
1357,20,1,view
1578,11,2,click
1877,49,1,view
1200,10,2,click
386,54,1,view
874,32,2,click
1025,68,2,click
783,75,1,view
842,96,3,add_to_cart
1490,11,1,view
1172,99,2,click
1667,18,1,view
429,95,1,view
630,0,5,conversion
1671,62,1,view
143,99,2,click
1075,53,2,click
1501,55,1,view
767,23,2,click
405,62,1,view
1942,14,1,view
1667,27,1,view
120,95,1,view
1554,24,1,view
1847,52,1,view
1869,79,1,view
1303,21,1,view
175,48,1,view
131,43,1,view
480,61,1,view
1557,12,1,view
544,96,5,conversion
1362,74,2,click
85,12,1,view
1621,0,1,view
1065,97,1,view
995,60,2,click
1237,54,1,view
1396,43,5,conversion
1672,30,3,add_to_cart
1362,51,1,view
117,45,3,add_to_cart
1651,12,1,view
1782,89,1,view
1710,17,1,view
251,67,1,view
1432,96,3,add_to_cart
754,57,2,click
1349,60,2,click
1352,24,1,view
1306,41,1,view
737,5,5,conversion
1506,41,2,click
478,77,1,view
1513,78,2,click
713,54,3,add_to_cart
1928,60,5,conversion
1755,89,3,add_to_cart
1503,49,1,view
399,91,1,view
1065,73,2,click
1467,64,1,view
1019,11,1,view
1378,70,5,conversion
956,21,3,add_to_cart
1955,14,1,view
1107,30,1,view
349,96,3,add_to_cart
1433,11,1,view
1465,3,1,view
1902,41,3,add_to_cart
1569,35,1,view
527,85,1,view
1838,85,1,view
278,68,2,click
1007,11,2,click
681,28,3,add_to_cart
1569,76,1,view
702,48,3,add_to_cart
1521,94,2,click
1339,82,2,click
1978,55,3,add_to_cart
457,33,1,view
179,14,1,view
1516,75,3,add_to_cart
1524,14,2,click
260,40,5,conversion
1181,94,1,view
126,75,2,click
1734,49,5,conversion
654,98,1,view
1391,16,2,click
1232,75,1,view
809,1,2,click
943,40,1,view
1931,37,3,add_to_cart
1023,87,1,view
1231,36,1,view
1362,89,1,view
655,39,2,click
1410,15,1,view
1736,90,2,click
1292,27,1,view
1442,48,1,view
1659,42,1,view
1467,26,3,add_to_cart
1913,28,2,click
107,99,1,view
998,93,1,view
1669,84,3,add_to_cart
326,2,2,click
691,54,2,click
713,96,1,view
147,67,2,click
578,89,3,add_to_cart
1435,70,1,view
268,41,2,click
1188,6,3,add_to_cart
1453,38,1,view
335,73,1,view
1425,61,1,view
296,26,1,view
1532,25,2,click
18,46,2,click
1178,13,2,click
1758,18,1,view
874,86,3,add_to_cart
1896,7,1,view
1995,60,1,view
107,15,5,conversion
1331,43,2,click
1986,19,2,click
827,31,1,view
493,50,1,view
1408,76,5,conversion
1336,95,1,view
1416,85,2,click
1592,59,3,add_to_cart
1331,48,1,view
1337,56,1,view
245,14,1,view
1001,82,2,click
1043,28,1,view
1173,73,1,view
1420,95,1,view
1214,23,1,view
1320,89,1,view
1170,16,1,view
130,91,3,add_to_cart
1628,68,1,view
1664,89,1,view
1138,68,2,click
1085,62,1,view
1714,74,2,click
1676,83,1,view
1542,26,5,conversion
1838,15,1,view
1226,88,1,view
1136,57,3,add_to_cart
251,5,1,view
422,83,1,view
1151,32,3,add_to_cart
71,10,5,conversion
1036,38,1,view
1114,21,1,view
1935,84,1,view
615,5,3,add_to_cart
1063,37,2,click
911,17,2,click
1423,40,2,click
721,77,2,click
429,88,1,view
1678,5,1,view
385,18,1,view
1705,27,5,conversion
1233,70,1,view
735,35,1,view
1274,54,1,view
522,33,1,view
1850,20,1,view
170,32,2,click
1925,88,1,view
417,9,2,click
551,81,2,click
394,91,1,view
1346,82,3,add_to_cart
1238,20,1,view
314,40,5,conversion
888,48,1,view
1236,31,1,view
255,68,1,view
1123,52,1,view
1311,11,1,view
683,99,1,view
1779,28,1,view
200,48,5,conversion
455,48,5,conversion
1603,15,1,view
1491,39,2,click
1652,62,1,view
714,89,2,click
577,70,1,view
202,6,1,view
1938,96,1,view
706,94,2,click
1615,68,2,click
1806,51,1,view
261,33,1,view
1051,91,1,view
258,18,1,view
1506,34,1,view
1485,81,5,conversion
1448,99,1,view
1246,53,2,click
374,56,5,conversion
1635,59,2,click
564,54,2,click
1471,29,1,view
1757,11,3,add_to_cart
832,98,1,view
184,81,1,view
1494,30,3,add_to_cart
338,73,1,view
1522,36,2,click
1009,1,5,conversion
868,86,2,click
1496,17,1,view
1054,87,5,conversion
1818,68,2,click
830,1,2,click
1865,95,1,view
870,89,2,click
706,31,5,conversion
